country_1,country_2,t_statistic,p_value
Albania,Croatia,-0.8882064268327706,0.3746465604903304
Albania,Cuba,-2.4097239858829655,0.016146917906659685
Albania,Curacao,-15.105570613376704,1.801975856430476e-43
Albania,Cyprus,4.325742524034563,1.6756763314035887e-05
Albania,Czechia,0.6276117995580341,0.5304043337001498
Albania,Denmark,2.028248803373653,0.042805197045879005
Albania,Djibouti,-11.923970286395424,1.1097757980662867e-30
Albania,Dominica,-11.515232671759653,2.2570074676170976e-28
Albania,Dominican Republic,-8.825786969029755,4.876895360223551e-18
Albania,Ecuador,-5.363327215334301,1.0180639372247673e-07
Albania,"Egypt, Arab Rep.",-6.232889865647559,6.782124746422037e-10
Albania,El Salvador,-5.092651636751797,4.2327745786332743e-07
Albania,Equatorial Guinea,-13.42168224452492,8.542153073647088e-38
Albania,Eritrea,-9.6200010580132,5.493223566285099e-21
Albania,Estonia,-2.16650357146838,0.030513901027657806
Albania,Eswatini,-10.81072801001314,8.449709981877384e-26
Albania,Ethiopia,-9.99491049356512,1.8586964449986334e-22
Albania,Faroe Islands,-8.5476705886537,1.2066988737687017e-16
Albania,Fiji,-7.195878609106818,1.2319370381540186e-12
Albania,Finland,1.5909317582423834,0.111945476454143
Albania,France,1.4335318856780663,0.15202452548427975
Albania,French Polynesia,-5.90979934957486,5.964874874918125e-09
Albania,Gabon,-10.277792664532077,1.3663241184543247e-23
Albania,"Gambia, The",-9.925834242184054,3.5241298795546617e-22
Albania,Georgia,-4.699368479123923,2.98288728556565e-06
Albania,Germany,2.6487930005394316,0.008208154354665995
Albania,Ghana,-10.881493067930032,4.223500779169035e-26
Albania,Gibraltar,-8.110030440620235,3.2298164257451832e-15
Albania,Greece,3.2075469712396707,0.0013819346845314142
Albania,Greenland,-23.09147501601851,2.6118558247224955e-83
Albania,Grenada,-4.171076447076753,3.298993144928326e-05
Albania,Guam,-17.966893619441844,2.716216195970763e-57
Albania,Guatemala,-8.208365100923588,6.984123010040471e-16
Albania,Guinea,-11.036576173353358,9.192639164447361e-27
Albania,Guinea-Bissau,-10.521584462439904,1.3714982452812386e-24
Albania,Guyana,-10.533074418131026,1.1845099115319285e-24
Albania,Haiti,-11.649099634014517,1.900768001633668e-29
Albania,Honduras,-6.134633560774391,1.2405751633372486e-09
Albania,"Hong Kong SAR, China",-7.216258828053708,1.753889464049997e-12
Albania,Hungary,-3.0562063211092525,0.0023023484615797307
Albania,Iceland,4.649233246888222,3.7903328546300133e-06
Albania,India,-10.851864583390658,5.551855398884322e-26
Albania,Indonesia,-8.637636558667289,2.328431936431394e-17
Albania,"Iran, Islamic Rep.",-3.716169431008716,0.0002136982283111941
Albania,Iraq,-7.942430703722406,5.467788975558996e-15
Albania,Ireland,3.0233136644713863,0.002565299661986085
Albania,Isle of Man,-11.847332080768645,4.861197984761155e-29
